site,bin_id,n_days,deg,mean_E_kWh,std_E_kWh,mean_gain_pct_vs0,is_winner,theta_hat,flatness_pm2_pct
NC,partly_cloudy,25,-2,1.2903636116742854,0.45014193374910744,-0.4482554739235403,0,14,0.03589579394797556
NC,partly_cloudy,25,0,1.2970014389974132,0.4541842010756166,0.0,0,14,0.03589579394797556
NC,partly_cloudy,25,2,1.3026811984107183,0.45783240354903343,0.3777677834672826,0,14,0.03589579394797556
NC,partly_cloudy,25,4,1.3073829465712774,0.46097642959614016,0.6877442556246153,0,14,0.03589579394797556
NC,partly_cloudy,25,6,1.3110684163788897,0.46368809618946094,0.9229869205285604,0,14,0.03589579394797556
NC,partly_cloudy,25,8,1.3138890209107246,0.4659860331949999,1.0961879528454643,0,14,0.03589579394797556
NC,partly_cloudy,25,10,1.3158405793770884,0.4677888788498602,1.2078078880227057,0,14,0.03589579394797556
NC,partly_cloudy,25,12,1.317011405724572,0.46918152264347524,1.263165937467624,0,14,0.03589579394797556
NC,partly_cloudy,25,14,1.317484327183955,0.47006719811833086,1.2734978604018328,1,14,0.03589579394797556
NC,partly_cloudy,25,16,1.3174312426230819,0.47062142274690455,1.2494702046233739,0,14,0.03589579394797556
NC,partly_cloudy,25,18,1.3167827852186997,0.47081885589116096,1.184219992564491,0,14,0.03589579394797556
NC,partly_cloudy,25,20,1.3156061135040098,0.47081173990960434,1.081674905265342,0,14,0.03589579394797556
NC,partly_cloudy,25,22,1.3140666375188181,0.470701042139294,0.9519282010647835,0,14,0.03589579394797556
NC,partly_cloudy,25,24,1.3119560959436334,0.47036379434445813,0.77865343673789,0,14,0.03589579394797556
