site,bin_id,n_days,deg,mean_E_kWh,std_E_kWh,mean_gain_pct_vs0,is_winner,theta_hat,flatness_pm2_pct
WC,cloudy,8,-22,0.48399444497021554,0.19242989419561038,-0.49280946696927774,0,16,0.006979629769169067
WC,cloudy,8,-20,0.48422570178289637,0.19284625429721086,-0.4840080979671388,0,16,0.006979629769169067
WC,cloudy,8,-18,0.48461496282873107,0.19323854319278766,-0.4359926608244628,0,16,0.006979629769169067
WC,cloudy,8,-16,0.48515002262272877,0.19424705306017195,-0.3844977588720987,0,16,0.006979629769169067
WC,cloudy,8,-14,0.48577810873007515,0.19578106201273018,-0.3368603412102135,0,16,0.006979629769169067
WC,cloudy,8,-12,0.4861640179107922,0.1972138059361502,-0.3380849546132578,0,16,0.006979629769169067
WC,cloudy,8,-10,0.48668221784753707,0.19830371603224412,-0.29053878832640334,0,16,0.006979629769169067
WC,cloudy,8,-8,0.48702607630400585,0.19924813860115495,-0.27410740434677805,0,16,0.006979629769169067
WC,cloudy,8,-6,0.487110480789604,0.2000754372548827,-0.309354424809395,0,16,0.006979629769169067
WC,cloudy,8,-4,0.4883031629817783,0.20115313481677508,-0.15259431500302242,0,16,0.006979629769169067
WC,cloudy,8,-2,0.4892539038266851,0.2021722838455329,-0.044827851322594925,0,16,0.006979629769169067
WC,cloudy,8,0,0.48988819274102463,0.20311512513823216,0.0,0,16,0.006979629769169067
WC,cloudy,8,2,0.49069281936046283,0.20395256266477382,0.09888437821559541,0,16,0.006979629769169067
WC,cloudy,8,4,0.49140650493543586,0.20483886676960197,0.1798628183660162,0,16,0.006979629769169067
WC,cloudy,8,6,0.49200599977243287,0.2056629498756967,0.24189338068297536,0,16,0.006979629769169067
WC,cloudy,8,8,0.49246200759201897,0.20651483040114438,0.27066918074460455,0,16,0.006979629769169067
WC,cloudy,8,10,0.4927133549048818,0.20728738771494887,0.2613439413169503,0,16,0.006979629769169067
WC,cloudy,8,12,0.49283715145589463,0.20792360860553896,0.2373601206735873,0,16,0.006979629769169067
WC,cloudy,8,14,0.4929891276484698,0.20853969613855153,0.22589170626212557,0,16,0.006979629769169067
WC,cloudy,8,16,0.4930235388661575,0.20929605756920971,0.18312821540332716,1,16,0.006979629769169067
WC,cloudy,8,18,0.4929896185466495,0.20997901298514138,0.1313618581483515,0,16,0.006979629769169067
WC,cloudy,8,20,0.4928806213413162,0.21058489306246708,0.07090799518612698,0,16,0.006979629769169067
WC,cloudy,8,22,0.4928156325046668,0.21110793658088742,0.026985758621076425,0,16,0.006979629769169067
WC,cloudy,8,24,0.492621748296206,0.21157482302554262,-0.04190407390705146,0,16,0.006979629769169067
WC,mostly_clear,84,-24,1.221503987169743,0.39987989493262266,-8.63011586486234,0,14,0.027071760636223113
WC,mostly_clear,84,-22,1.2311280253553867,0.40217982549691567,-7.8951259500944495,0,14,0.027071760636223113
WC,mostly_clear,84,-20,1.240964077425786,0.4049424109506584,-7.152546200349282,0,14,0.027071760636223113
WC,mostly_clear,84,-18,1.2511279357602862,0.4075298526689418,-6.3754047140120145,0,14,0.027071760636223113
WC,mostly_clear,84,-16,1.2616765907867888,0.40982130319594184,-5.554560195906193,0,14,0.027071760636223113
WC,mostly_clear,84,-14,1.272289893211554,0.41187605838247354,-4.720294584656514,0,14,0.027071760636223113
WC,mostly_clear,84,-12,1.2825363082576375,0.41419218882990944,-3.922627081298457,0,14,0.027071760636223113
WC,mostly_clear,84,-10,1.292303000137241,0.41658063772332454,-3.1683934324692977,0,14,0.027071760636223113
WC,mostly_clear,84,-8,1.3014682899696992,0.41905256391295165,-2.4667467388673225,0,14,0.027071760636223113
WC,mostly_clear,84,-6,1.310451343104403,0.4212847625908785,-1.7792166218737915,0,14,0.027071760636223113
WC,mostly_clear,84,-4,1.3192935849235197,0.42322635815539367,-1.1012140705936102,0,14,0.027071760636223113
WC,mostly_clear,84,-2,1.327034296411807,0.4248760637711837,-0.5059540626225101,0,14,0.027071760636223113
WC,mostly_clear,84,0,1.3335979062879033,0.4262394563426989,0.0,0,14,0.027071760636223113
WC,mostly_clear,84,2,1.3390715360937073,0.4272708483600357,0.42493992389312085,0,14,0.027071760636223113
WC,mostly_clear,84,4,1.343560870299577,0.4280080718766699,0.7768378735341528,0,14,0.027071760636223113
WC,mostly_clear,84,6,1.347120243125008,0.4285000911382932,1.0585312439592247,0,14,0.027071760636223113
WC,mostly_clear,84,8,1.3497691063965966,0.428731803954651,1.271609498974443,0,14,0.027071760636223113
WC,mostly_clear,84,10,1.3515470032191554,0.4287314717419083,1.4187945459532723,0,14,0.027071760636223113
WC,mostly_clear,84,12,1.3526307344673782,0.4285341750981787,1.5146988477759165,0,14,0.027071760636223113
WC,mostly_clear,84,14,1.3529970145805807,0.42815273803542453,1.556429434439846,1,14,0.027071760636223113
WC,mostly_clear,84,16,1.352673684648106,0.4275493348872884,1.5470524840128614,0,14,0.027071760636223113
WC,mostly_clear,84,18,1.351859983330888,0.42683128998974207,1.5004543455267327,0,14,0.027071760636223113
WC,mostly_clear,84,20,1.3505970126857059,0.42584362180263274,1.4241072395824628,0,14,0.027071760636223113
WC,mostly_clear,84,22,1.348765189454892,0.42459899870365897,1.3072905585628096,0,14,0.027071760636223113
WC,mostly_clear,84,24,1.3464680580316721,0.42330220960882,1.1532480057518466,0,14,0.027071760636223113
WC,partly_cloudy,49,-24,0.6985205636858458,0.30068755155152366,-3.827106456702314,0,8,0.04179947342825134
WC,partly_cloudy,49,-22,0.7012677903354823,0.30272290842600286,-3.518772098572773,0,8,0.04179947342825134
WC,partly_cloudy,49,-20,0.704309695043273,0.30475739758458276,-3.162747984311439,0,8,0.04179947342825134
