date,delta_deg,E_day_kWh
2024-06-28,10,0.8781330890472001
2024-06-28,11,0.878674794223186
2024-06-28,12,0.8792273674167874
2024-06-28,13,0.8796336655798933
2024-06-28,14,0.8798939560057152
2024-06-29,10,0.710331264227372
2024-06-29,11,0.7099469809588338
2024-06-29,12,0.7096561683350854
2024-06-29,13,0.7092430131344835
2024-06-29,14,0.7087075380962908
2024-06-30,10,0.7064820331241854
2024-06-30,11,0.7068692516575268
2024-06-30,12,0.7073723578865309
2024-06-30,13,0.7077707316724295
2024-06-30,14,0.7080647797642328
2024-07-01,10,0.49486873447776375
2024-07-01,11,0.49498060833822427
2024-07-01,12,0.4952750057365919
2024-07-01,13,0.4955021651279122
2024-07-01,14,0.495662232968092
2024-07-02,10,0.5770535078990893
2024-07-02,11,0.5770250671876944
2024-07-02,12,0.5772463320953434
2024-07-02,13,0.577387852537186
2024-07-02,14,0.577449745925178
2024-07-03,10,0.33820865685525336
2024-07-03,11,0.33808012162276246
2024-07-03,12,0.33818867654618656
2024-07-03,13,0.33828064799161167
2024-07-03,14,0.338333038209277
2024-07-04,10,0.793448206565539
2024-07-04,11,0.7935511374622636
2024-07-04,12,0.7937808028994779
2024-07-04,13,0.7939321461977492
2024-07-04,14,0.793938061246686
2024-07-05,10,1.0723159671194324
2024-07-05,11,1.0727026713305694
2024-07-05,12,1.0730952522969335
2024-07-05,13,1.0734037829159586
2024-07-05,14,1.0735339046978167
2024-07-06,10,0.9182299929358939
2024-07-06,11,0.9185137028985896
2024-07-06,12,0.9188163292805044
2024-07-06,13,0.9191191872595632
2024-07-06,14,0.9192753383132195
2024-07-07,10,0.4280172116570869
2024-07-07,11,0.4266437690477385
2024-07-07,12,0.4253684171447788
2024-07-07,13,0.42424678492224416
2024-07-07,14,0.42307399274454127
2024-07-08,10,0.8834207915813811
2024-07-08,11,0.8838654794003218
2024-07-08,12,0.8842613459712502
2024-07-08,13,0.8847832818983855
2024-07-08,14,0.8851704915890029
2024-07-09,10,0.30222075609122695
2024-07-09,11,0.30180185264061893
2024-07-09,12,0.301405955649545
2024-07-09,13,0.3012555018699009
2024-07-09,14,0.3010753157606744
2024-07-10,10,0.4002263800250058
2024-07-10,11,0.3992854829477292
2024-07-10,12,0.3983095008797525
2024-07-10,13,0.39759610433558246
2024-07-10,14,0.3968390218047544
2024-07-11,10,0.5301556216307433
2024-07-11,11,0.5295207598791303
2024-07-11,12,0.5288046401702003
2024-07-11,13,0.5283454088908479
2024-07-11,14,0.5278471063718169
2024-07-12,10,0.48673095508133857
2024-07-12,11,0.4862685941161027
2024-07-12,12,0.4857373059123995
2024-07-12,13,0.48540940949255207
2024-07-12,14,0.48509605817116114
2024-07-13,10,0.4316126882008262
2024-07-13,11,0.43129203720552844
2024-07-13,12,0.4309111027602115
2024-07-13,13,0.43071141735418167
2024-07-13,14,0.43059260682196465
2024-07-14,10,0.710380962428733
2024-07-14,11,0.7105182603111077
2024-07-14,12,0.710536299781802
2024-07-14,13,0.710641363520396
2024-07-14,14,0.7108388871176801
2024-07-15,10,1.0425555264762019
2024-07-15,11,1.042738071706213
2024-07-15,12,1.0427218086523145
2024-07-15,13,1.0426580484847316
2024-07-15,14,1.0426716765293131
2024-07-16,10,0.7005053559700142
2024-07-16,11,0.7001969115446948
2024-07-16,12,0.6997682787264806
2024-07-16,13,0.6993100472667675
2024-07-16,14,0.6990286735178445
2024-07-17,10,0.6272236474644174
2024-07-17,11,0.6265548229538738
2024-07-17,12,0.6257867711379694
2024-07-17,13,0.6249598834595961
2024-07-17,14,0.6244007821306037
2024-07-18,10,0.6608887488157507
2024-07-18,11,0.6610225522949604
2024-07-18,12,0.661050339944663
2024-07-18,13,0.6609725198139407
2024-07-18,14,0.6611789873872091
2024-07-19,10,0.7089948666859716
2024-07-19,11,0.7085483028698165
2024-07-19,12,0.707982572325394
2024-07-19,13,0.7072979076658117
2024-07-19,14,0.7068364823036045
2024-07-20,10,0.9164865916098568
2024-07-20,11,0.916472249628716
2024-07-20,12,0.9162924705938468
2024-07-20,13,0.9159477008297485
2024-07-20,14,0.915722216443654
2024-07-21,10,1.0611238083491616
2024-07-21,11,1.061149995181133
2024-07-21,12,1.0609837072504165
2024-07-21,13,1.060625531342427
2024-07-21,14,1.0602918099878957
